date,rows
2021-08-13,37084
2021-08-14,30826
2021-08-15,2873
2021-08-16,29086
2021-08-17,31477
2021-08-18,41562
2021-08-19,44289
2021-08-20,45559
2021-08-21,45041
2021-08-22,47273
2021-08-23,43524
2021-08-24,45218
2021-08-25,46123
2021-08-26,43031
2021-08-27,38165
2021-08-28,40263
2021-08-29,37083
2021-08-30,31295
2021-08-31,30734
2021-09-01,33228
2021-09-02,38922
2021-09-03,40482
2021-09-04,41561
2021-09-05,40668
2021-09-06,42224
2021-09-07,40461
2021-09-08,44405
2021-09-09,42446
2021-09-10,43602
2021-09-11,41920
2021-09-12,42186
2021-09-13,40753
2021-09-14,40569
2021-09-15,41740
2021-09-16,35559
2021-09-17,20150
2021-09-18,31748
2021-09-19,33452
2021-09-20,37682
2021-09-21,38483
2021-09-22,37821
2021-09-23,38219
2021-09-24,44297
2021-09-25,42833
2021-09-26,39062
2021-09-27,18798
2021-09-28,26514
2021-09-29,25732
2021-09-30,22242
2021-10-01,28910
2021-10-02,33151
2021-10-03,33888
2021-10-04,31220
2021-10-05,36368
2021-10-06,36845
2021-10-07,34456
2021-10-08,36833
2021-10-09,35792
2021-10-10,37817
2021-10-11,36799
2021-10-12,35912
2021-10-13,37394
2021-10-14,37961
2021-10-15,39334
2021-10-16,40358
2021-10-17,39818
2021-10-18,37929
2021-10-19,37093
2021-10-20,34670
2021-10-21,34537
2021-10-22,34443
2021-10-23,29148
2021-10-24,31748
2021-10-25,32294
2021-10-26,26903
2021-10-27,26650
2021-10-28,27514
2021-10-29,27780
2021-10-30,26611
2021-10-31,25565
2021-11-01,33644
2021-11-02,26607
2021-11-03,39140
2021-11-04,41886
2021-11-05,41901
2021-11-06,41555
2021-11-07,42749
2021-11-08,40873
2021-11-09,42711
2021-11-10,39199
2021-11-11,42135
2021-11-12,41373
2021-11-13,42128
2021-11-14,42841
2021-11-15,42094
2021-11-16,42633
2021-11-17,41984
2021-11-18,39447
2021-11-19,40317
2021-11-20,40865
2021-11-21,40787
2021-11-22,37592
2021-11-23,36382
2021-11-24,35379
2021-11-25,35025
2021-11-26,33652
2021-11-27,34403
2021-11-28,32429
2021-11-29,28169
2021-11-30,23725
2021-12-01,35839
2021-12-02,42353
2021-12-03,33858
2021-12-04,27981
2021-12-05,26086
2021-12-06,34363
2021-12-07,37365
2021-12-08,40468
2021-12-09,34703
2021-12-10,33698
2021-12-11,44375
2021-12-12,44478
2021-12-13,42893
2021-12-14,46263
2021-12-15,47766
2021-12-16,46845
2021-12-17,46201
2021-12-18,46789
2021-12-19,47551
2021-12-20,45478
2021-12-21,44260
2021-12-22,42075
2021-12-23,41518
2021-12-24,40738
2021-12-25,40168
2021-12-26,42113
2021-12-27,37436
2021-12-28,31046
2021-12-29,28510
2021-12-30,26443
2021-12-31,20498
2022-01-01,32720
2022-01-02,34993
2022-01-03,34380
2022-01-04,38443
2022-01-05,40120
2022-01-06,43727
2022-01-07,46230
2022-01-08,48121
2022-01-09,48366
2022-01-10,45004
2022-01-11,44569
2022-01-12,48571
2022-01-13,47861
2022-01-14,50888
2022-01-15,52109
2022-01-16,53541
2022-01-17,52243
2022-01-18,49836
2022-01-19,48073
2022-01-20,47210
2022-01-21,43509
2022-01-22,42983
2022-01-23,42611
2022-01-24,39584
2022-01-25,37148
2022-01-26,33768
2022-01-27,33146
2022-01-28,31847
2022-01-29,31533
2022-01-30,30771
2022-01-31,29019
2022-02-01,39502
2022-02-02,44516
2022-02-03,44273
2022-02-04,47567
2022-02-05,49886
2022-02-06,50995
2022-02-07,48933
2022-02-08,50335
2022-02-09,49957
2022-02-10,49300
2022-02-11,50545
2022-02-12,51006
2022-02-13,49861
2022-02-14,46725
2022-02-15,45870
2022-02-16,46158
2022-02-17,45678
2022-02-18,44870
2022-02-19,47978
2022-02-20,48522
2022-02-21,45713
2022-02-22,42468
2022-02-23,35546
2022-02-24,31626
2022-02-25,29565
2022-02-26,29017
2022-02-27,30777
2022-02-28,27994
2022-03-01,42112
2022-03-02,43908
2022-03-03,43776
2022-03-04,44812
2022-03-05,46235
2022-03-06,45712
2022-03-07,43345
2022-03-08,43813
2022-03-09,42858
2022-03-10,45287
2022-03-11,45341
2022-03-12,45289
2022-03-13,44035
2022-03-14,44301
