database,schema,table,role,hour,rows
Megatron,dbo,FileDetails_Log,META_file_ingest,23,28
Megatron,dbo,BackupLog,META_backups,0,14516
Megatron,dbo,BackupLog,META_backups,1,15010
Megatron,dbo,BackupLog,META_backups,2,10990
Megatron,dbo,BackupLog,META_backups,3,11556
Megatron,dbo,BackupLog,META_backups,4,11167
Megatron,dbo,BackupLog,META_backups,5,10287
Megatron,dbo,BackupLog,META_backups,6,9493
Megatron,dbo,BackupLog,META_backups,7,9490
Megatron,dbo,BackupLog,META_backups,8,9573
Megatron,dbo,BackupLog,META_backups,9,9501
Megatron,dbo,BackupLog,META_backups,10,9066
Megatron,dbo,BackupLog,META_backups,11,8020
Megatron,dbo,BackupLog,META_backups,12,7201
Megatron,dbo,BackupLog,META_backups,13,7212
Megatron,dbo,BackupLog,META_backups,14,7659
Megatron,dbo,BackupLog,META_backups,15,6725
Megatron,dbo,BackupLog,META_backups,16,6737
Megatron,dbo,BackupLog,META_backups,17,5971
Megatron,dbo,BackupLog,META_backups,18,7371
Megatron,dbo,BackupLog,META_backups,19,5772
Megatron,dbo,BackupLog,META_backups,20,10961
Megatron,dbo,BackupLog,META_backups,21,14199
Megatron,dbo,BackupLog,META_backups,22,14526
Megatron,dbo,BackupLog,META_backups,23,15708
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,0,9203555
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,1,16460084
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,2,17474036
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,3,17919528
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,4,18062730
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,5,17573282
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,6,13571801
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,7,5206516
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,8,3160131
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,9,1536871
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,10,1380381
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,11,1178485
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,12,987122
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,13,580205
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,14,493668
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,15,396398
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,16,540340
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,17,556768
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,18,477070
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,19,787967
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,20,696188
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,21,1623996
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,22,8717207
RedDawn,dbo,ListingImageDownload_Queue_History,image_dl_queue_received,23,8513651
