database,schema,table,row_count,total_mb,used_mb
Megatron,dbo,CraigslistListing,4707,0.406250,0.382812
Megatron,dbo,obr_VehicleSummary,4627,0.382812,0.382812
Megatron,dbo,zzz_BannerLocationSelected,4401,0.156250,0.132812
Megatron,dbo,zzz_rptMarketingNewsletter_Log,4394,1.164062,0.945312
Megatron,dbo,AdCenterObjects,4025,0.648437,0.593750
Megatron,dbo,Model,3855,0.203125,0.164062
Megatron,dbo,ListingMainImage,3819,0.882812,0.664062
Megatron,dbo,InventoryProcessed,3654,1.039062,0.234375
Megatron,dbo,CraigslistPosting,3539,0.390625,0.382812
Megatron,dbo,MakeModelBody,3318,0.195312,0.187500
Megatron,dbo,zzz_BKUPHistory,3294,0.195312,0.171875
Megatron,dbo,CountyNation,3235,0.203125,0.156250
Megatron,dbo,zzz_SolrCheck,3188,15.289062,15.218750
Megatron,dbo,WastedSlots,3152,0.203125,0.140625
Megatron,dbo,LeadSyncMapping,2974,0.070312,0.070312
Megatron,dbo,zzz_listingweekslog_dupe,2967,0.320312,0.289062
Megatron,dbo,zzz_adwordsmapping,2884,0.265625,0.250000
Megatron,dbo,CraigslistListing_Mapping,2831,0.140625,0.117187
Megatron,dbo,GoogleAnalytics_Post_Log,2805,1.687500,1.195312
Megatron,dbo,adez_advertiser,2707,0.695312,0.640625
Megatron,dbo,SF_to_Advertiser_Mapping,2658,0.132812,0.117187
Megatron,dbo,obr_DisplayClicks_V10,2644,0.195312,0.156250
Megatron,dbo,PhyronVehicles,2639,0.281250,0.156250
Megatron,dbo,business_advertiser_compare,2626,0.945312,0.921875
Megatron,dbo,ZipNFTP,2580,0.617187,0.601562
Megatron,dbo,ADPLocal,2577,4.476562,4.343750
Megatron,dbo,zzz_adwordsenddates,2558,0.265625,0.250000
Megatron,dbo,MarineCL,2552,0.203125,0.148437
Megatron,dbo,business_dedupe,2545,0.945312,0.898437
Megatron,dbo,Banner,2543,0.640625,0.640625
Megatron,dbo,obr_DisplayClicks_V7,2538,1.031250,0.476562
Megatron,dbo,ActiveAdEzCampaigns,2468,1.640625,1.617187
Megatron,dbo,zzz_AdEz_Active_Flight_20190131,2461,0.445312,0.406250
Megatron,dbo,zzz_PlatformAutoNumbers,2410,0.445312,0.437500
Megatron,dbo,zzz_BlogTitlesToCategory,2311,0.125000,0.070312
Megatron,dbo,zzz_JohnnyTest,2251,0.390625,0.367187
Megatron,dbo,PowerListing_URL_UTM,2131,2.437500,1.789062
Megatron,dbo,CharterIDMapping,2079,0.164062,0.156250
Megatron,dbo,zzz_PowerListingCheckTemp,2075,0.320312,0.265625
Megatron,dbo,zzz_RatchetDisplay_PlatformAuto_Mapping_DONT_USE_JO_20180605,2064,0.125000,0.085937
Megatron,dbo,Flight_Range_Data_Sales_Pivot,1998,0.632812,0.570312
Megatron,dbo,DealershipDetails,1855,0.148437,0.117187
Megatron,dbo,VDPDashboard_DailySnapshots,1853,1.296875,0.859375
Megatron,dbo,zzz_RCY_Data,1714,0.515625,0.156250
Megatron,dbo,AttributeOption,1661,0.140625,0.093750
Megatron,dbo,zzz_PowerListing_URL_UTM_BU,1633,0.507812,0.460937
Megatron,dbo,zzz_DealerVault_Matching_XLS,1604,0.140625,0.093750
Megatron,dbo,zzz_x,1594,0.328125,0.226562
Megatron,dbo,MissingCalls_First,1589,0.515625,0.507812
Megatron,dbo,zzz_StrikeZoneLog,1588,0.296875,0.171875
Megatron,dbo,ExternalUsers,1550,0.289062,0.179687
Megatron,dbo,zzz_rcd_flydates,1463,11.515625,7.351562
Megatron,dbo,ResellerAccounts,1404,0.125000,0.093750
Megatron,dbo,zzz_AccountBlacklisted,1339,0.125000,0.101562
Megatron,dbo,zzz_StrikeZoneQueue,1338,0.617187,0.484375
Megatron,dbo,ImportIssue,1314,0.421875,0.257812
Megatron,dbo,obr_CreativeImages,1295,0.195312,0.164062
Megatron,dbo,CraigslistErrorLog,1271,0.140625,0.101562
Megatron,dbo,ListingProperty,1254,0.328125,0.304687
Megatron,dbo,Temp_FeedAccounts,1234,0.257812,0.234375
Megatron,dbo,zzz_AdEz_Billing,1225,0.382812,0.335937
Megatron,dbo,ListingCentralInventory,1222,0.070312,0.039062
Megatron,dbo,_OverwriteDupeAccount_Log_Account,1218,0.687500,0.476562
Megatron,dbo,FbPageAccess,1203,0.437500,0.250000
Megatron,dbo,ModelSynonym,1193,0.054687,0.054687
Megatron,dbo,_Accounts_from_Ratchet,1186,0.476562,0.453125
Megatron,dbo,obr_CustomerList_V7,1179,0.781250,0.554687
Megatron,dbo,obr_CustomerList_V10,1169,0.132812,0.117187
