date,rows
2022-11-08,11238
2022-11-09,11287
2022-11-10,11631
2022-11-11,12719
2022-11-12,13832
2022-11-13,14404
2022-11-14,12959
2022-11-15,11691
2022-11-16,11535
2022-11-17,11097
2022-11-18,10687
2022-11-19,11760
2022-11-20,13600
2022-11-21,12237
2022-11-22,11570
2022-11-23,11489
2022-11-24,11546
2022-11-25,10646
2022-11-26,11466
2022-11-27,12513
2022-11-28,7277
2022-11-29,5355
2022-11-30,4880
2022-12-01,5129
2022-12-02,9838
2022-12-03,11843
2022-12-04,11425
2022-12-05,9954
2022-12-06,11307
2022-12-07,10888
2022-12-08,11376
2022-12-09,12625
2022-12-10,13382
2022-12-11,14091
2022-12-12,12810
2022-12-13,13377
2022-12-14,13283
2022-12-15,14095
2022-12-16,14112
2022-12-17,16220
2022-12-18,17053
2022-12-19,16341
2022-12-20,16201
2022-12-21,14464
2022-12-22,13015
2022-12-23,12932
2022-12-24,11713
2022-12-25,12522
2022-12-26,13406
2022-12-27,10191
2022-12-28,8662
2022-12-29,7265
2022-12-30,6543
2022-12-31,10169
2023-01-01,14588
2023-01-02,14035
2023-01-03,12560
2023-01-04,11733
2023-01-05,13590
2023-01-06,14453
2023-01-07,14117
2023-01-08,16048
2023-01-09,12838
2023-01-10,14992
2023-01-11,14050
2023-01-12,12738
2023-01-13,12277
2023-01-14,12897
2023-01-15,14588
2023-01-16,13811
2023-01-17,10873
2023-01-18,10105
2023-01-19,9156
2023-01-20,9760
2023-01-21,10370
2023-01-22,9869
2023-01-23,8395
2023-01-24,6971
2023-01-25,4845
2023-01-26,4518
2023-01-27,4132
2023-01-28,4412
2023-01-29,4871
2023-01-30,4152
2023-01-31,4450
2023-02-01,9214
2023-02-02,10874
2023-02-03,10514
2023-02-04,11808
2023-02-05,12446
2023-02-06,10808
2023-02-07,10853
2023-02-08,12550
2023-02-09,12927
2023-02-10,12927
2023-02-11,13913
2023-02-12,8865
2023-02-13,9929
2023-02-14,13736
2023-02-15,12532
2023-02-16,11881
2023-02-17,11787
2023-02-18,14051
2023-02-19,14832
2023-02-20,13080
2023-02-21,11796
2023-02-22,11590
2023-02-23,11251
2023-02-24,9910
2023-02-25,12667
2023-02-26,12402
2023-02-27,9725
2023-02-28,8328
2023-03-01,9020
2023-03-02,11873
2023-03-03,11558
2023-03-04,12027
2023-03-05,12558
2023-03-06,14920
2023-03-07,37083
2023-03-08,24787
2023-03-09,16367
2023-03-10,13607
2023-03-11,14155
2023-03-12,13799
2023-03-13,13359
2023-03-14,13194
2023-03-15,13372
2023-03-16,14930
2023-03-17,14531
2023-03-18,15788
2023-03-19,17139
2023-03-20,15882
2023-03-21,16623
2023-03-22,13942
2023-03-23,12680
2023-03-24,10654
2023-03-25,11085
2023-03-26,10609
2023-03-27,9643
2023-03-28,8825
2023-03-29,9077
2023-03-30,8116
2023-03-31,8060
2023-04-01,10537
2023-04-02,10781
2023-04-03,10645
2023-04-04,10868
2023-04-05,10591
2023-04-06,11376
2023-04-07,11133
2023-04-08,10929
2023-04-09,11321
2023-04-10,10989
2023-04-11,12217
2023-04-12,12044
2023-04-13,13104
2023-04-14,12248
2023-04-15,11954
2023-04-16,14083
2023-04-17,12851
2023-04-18,12753
2023-04-19,12951
2023-04-20,11643
2023-04-21,8645
2023-04-22,7397
2023-04-23,5669
2023-04-24,10257
2023-04-25,11646
2023-04-26,12067
2023-04-27,11579
2023-04-28,12223
2023-04-29,11285
2023-04-30,9487
2023-05-01,9498
2023-05-02,11329
2023-05-03,12646
2023-05-04,13998
2023-05-05,13302
2023-05-06,13324
2023-05-07,14222
2023-05-08,12774
2023-05-09,12486
2023-05-10,12241
2023-05-11,11762
2023-05-12,11737
2023-05-13,12810
2023-05-14,13484
2023-05-15,13204
2023-05-16,13924
2023-05-17,15381
2023-05-18,14372
2023-05-19,9078
2023-05-20,45
2023-05-21,4
2023-05-22,81
2023-05-23,1110
2023-05-24,2315
2023-05-25,5522
2023-05-26,10489
2023-05-27,14123
2023-05-28,13810
2023-05-29,14899
2023-05-30,16202
2023-05-31,17493
2023-06-01,16478
2023-06-02,8143
2023-06-03,8791
2023-06-04,9702
2023-06-05,11408
2023-06-06,16496
2023-06-07,14406
2023-06-08,15170
2023-06-09,14731
2023-06-10,15097
2023-06-11,17606
2023-06-12,14776
2023-06-13,13328
2023-06-14,12755
2023-06-15,11413
2023-06-16,11219
2023-06-17,11286
2023-06-18,11337
2023-06-19,11557
2023-06-20,9209
2023-06-21,8519
2023-06-22,7219
2023-06-23,8745
2023-06-24,9188
2023-06-25,9864
2023-06-26,6419
2023-06-27,7838
2023-06-28,7732
2023-06-29,6164
2023-06-30,6119
2023-07-01,11497
2023-07-02,15073
2023-07-03,13040
2023-07-04,12011
2023-07-05,12874
2023-07-06,12197
2023-07-07,12235
2023-07-08,12971
2023-07-09,15306
2023-07-10,12172
2023-07-11,10734
2023-07-12,10561
2023-07-13,12309
2023-07-14,13034
2023-07-15,13756
2023-07-16,14943
2023-07-17,13371
2023-07-18,12159
2023-07-19,11071
2023-07-20,10509
2023-07-21,9934
2023-07-22,10777
2023-07-23,11566
2023-07-24,8216
2023-07-25,6632
2023-07-26,5593
2023-07-27,5248
2023-07-28,4434
2023-07-29,4940
2023-07-30,5523
2023-07-31,5537
2023-08-01,8584
2023-08-02,11154
2023-08-03,8617
2023-08-04,8977
2023-08-05,9301
2023-08-06,10607
2023-08-07,9718
2023-08-08,9762
2023-08-09,10849
2023-08-10,10946
2023-08-11,12228
2023-08-12,12495
2023-08-13,16656
2023-08-14,17305
2023-08-15,14006
2023-08-16,15449
2023-08-17,15037
2023-08-18,15407
2023-08-19,14894
2023-08-20,16601
2023-08-21,13648
2023-08-22,10306
2023-08-23,8260
2023-08-24,7771
2023-08-25,7557
2023-08-26,7555
2023-08-27,7950
2023-08-28,5579
2023-08-29,4089
2023-08-30,3820
2023-08-31,3997
2023-09-01,8488
2023-09-02,14113
2023-09-03,13873
2023-09-04,13220
2023-09-05,12097
2023-09-06,12489
2023-09-07,12584
2023-09-08,11746
2023-09-09,12025
2023-09-10,12402
2023-09-11,11440
2023-09-12,11937
2023-09-13,12769
2023-09-14,11635
2023-09-15,11329
2023-09-16,11275
2023-09-17,11942
2023-09-18,10931
2023-09-19,13202
2023-09-20,11632
2023-09-21,9853
2023-09-22,8224
2023-09-23,7542
2023-09-24,8268
2023-09-25,6692
2023-09-26,5637
2023-09-27,4945
2023-09-28,3975
2023-09-29,3651
2023-09-30,4272
2023-10-01,4715
2023-10-02,9014
2023-10-03,10659
2023-10-04,10960
2023-10-05,11705
2023-10-06,10936
2023-10-07,11146
2023-10-08,9641
2023-10-09,11530
2023-10-10,10377
2023-10-11,11368
2023-10-12,11843
2023-10-13,12103
2023-10-14,12639
2023-10-15,13379
2023-10-16,12376
2023-10-17,12321
2023-10-18,11899
2023-10-19,13397
2023-10-20,13042
2023-10-21,12816
2023-10-22,14483
2023-10-23,13833
2023-10-24,11077
2023-10-25,10104
2023-10-26,7908
2023-10-27,6881
2023-10-28,6707
2023-10-29,6443
2023-10-30,5230
2023-10-31,4435
2023-11-01,5278
2023-11-02,8549
2023-11-03,11689
2023-11-04,11826
2023-11-05,12387
2023-11-06,10834
2023-11-07,10955
2023-11-08,10989
2023-11-09,11290
2023-11-10,12065
2023-11-11,12389
2023-11-12,14472
2023-11-13,15022
2023-11-14,15749
2023-11-15,15015
2023-11-16,14990
2023-11-17,15004
2023-11-18,14682
2023-11-19,15116
2023-11-20,14170
2023-11-21,13453
2023-11-22,13382
2023-11-23,13067
2023-11-24,12405
2023-11-25,12336
2023-11-26,14570
2023-11-27,9629
2023-11-28,8758
2023-11-29,7887
2023-11-30,7382
2023-12-01,8992
2023-12-02,10445
2023-12-03,11140
2023-12-04,11781
2023-12-05,10606
2023-12-06,10557
2023-12-07,10260
2023-12-08,9633
2023-12-09,9828
2023-12-10,10625
2023-12-11,10177
2023-12-12,9730
2023-12-13,9161
2023-12-14,9466
2023-12-15,8956
2023-12-16,9344
2023-12-17,10040
2023-12-18,9996
2023-12-19,10052
2023-12-20,10581
2023-12-21,10211
2023-12-22,10415
2023-12-23,8728
2023-12-24,6948
2023-12-25,4731
2023-12-26,8940
2023-12-27,13467
2023-12-28,13153
2023-12-29,13406
2023-12-30,13565
2023-12-31,13720
2024-01-01,13402
2024-01-02,12960
2024-01-03,13783
2024-01-04,12402
2024-01-05,12939
2024-01-06,13232
2024-01-07,13639
2024-01-08,12001
2024-01-09,12056
2024-01-10,10436
2024-01-11,11557
2024-01-12,13124
2024-01-13,13242
2024-01-14,15419
2024-01-15,14187
2024-01-16,15214
2024-01-17,14725
2024-01-18,14659
2024-01-19,14040
2024-01-20,14953
2024-01-21,16253
2024-01-22,14761
2024-01-23,12414
2024-01-24,11160
2024-01-25,11920
2024-01-26,10419
2024-01-27,10219
2024-01-28,10480
2024-01-29,8621
2024-01-30,8528
2024-01-31,8518
2024-02-01,7183
2024-02-02,8832
2024-02-03,11424
2024-02-04,12522
2024-02-05,11591
2024-02-06,10479
2024-02-07,10193
2024-02-08,10069
2024-02-09,10364
2024-02-10,10900
2024-02-11,10070
2024-02-12,10162
2024-02-13,10772
2024-02-14,10821
2024-02-15,11622
2024-02-16,11495
2024-02-17,11971
2024-02-18,12461
