raw_db,raw_schema,raw_table,ops,n_files,sample_files
,,source_clientdb_emaildeliveryfailures,delete=1,1,etl/SSIS/Email/sp_reset_Email.sql
,dbo,juicereporting_clientsoemparentgroups,select_into=1,1,etl/SSIS/Email/SP_Insert_JuiceReporting_ClientsOEMParentGroups.sql
edw_target,dbo,mileone_emailsummary,select_into=1,1,etl/SSIS/Email/sp_adhoc_MileOne_EmailSummary.sql
,,email_contact_attempts,delete=1,1,etl/SSIS/Email/sp_upsert_Email_Contact_Attempts.sql
,,analytics_matchbacks_60,insert=3,1,etl/SSIS/Email/sp_insert_Analytics_MatchBacks_60.sql
,,vehicle_valuation,insert=1;merge=1,1,etl/BlackBook/sp_insert_Vehicle_Valuation.sql
,,stage_vehicle_valuation,insert=2,1,etl/BlackBook/sp_insert_stage_Vehicle_Valuation.sql
,,stage_vehicle_valuation_clientwise,insert=2,1,etl/BlackBook/sp_insert_stage_Vehicle_Valuation_clientwise.sql
,,t1,update=4,2,etl/BlackBook/sp_Calculate_Equity.sql | etl/BlackBook/sp_Calculate_Equity_clientwise.sql
,,vehicle_valuation_history,delete=1;insert=1,1,etl/BlackBook/sp_insert_Vehicle_Valuation_History.sql
,,vehicle_valuation_temp,insert=1;merge=1,1,etl/BlackBook/sp_insert_Vehicle_Valuation_clientwise.sql
,,juicereporting_transaction_summary,insert=3,2,etl/Juicebox Reporting/sp_JuiceReporting_Adhoc_Transaction_PageView_Summary.sql | etl/Juicebox Reporting/sp_JuiceReporting_transaction_summary_new.sql
,,juicereporting_logs,insert=32,32,etl/Juicebox Reporting/JuiceReporting_MarketingSummary_DataSync.sql | etl/Juicebox Reporting/sp_JuiceAnalytics_extract_Email_Links.sql | etl/Juicebox Reporting/sp_JuiceReporting_Adhoc_Transaction_PageView_Summary.sql | etl/Juicebox Reporting/sp_JuiceReporting_adhoc_newrecipients.sql | etl/Juicebox Reporting/sp_JuiceReporting_extract_Email_Contact_Attempts.sql
,,juicereporting_dms_sales,select_into=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_DMS_Sales.sql
,dbo,juicereporting_blueskyoverview_serviceperf,delete=1;insert=1,2,etl/Juicebox Reporting/sp_insert_JuiceReporting_BlueSkyOverview.sql | etl/Juicebox Reporting/sp_remove_juice_data_for_inactive_clients.sql
,,juicereporting_blueskyoverview,update=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_BlueSkyOverview.sql
,,juicereporting_googleanalyticspageviewsinventorydetails,select_into=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_GoogleAnalyticsPageviewsInventoryDetails.sql
,,juicereporting_blueskyoverview_for_leadperformance_leadsourceindex,select_into=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_BlueSkyOverview_For_LeadPerformance_LeadSourceIndex.sql
,,juicereporting_marketing_summary,insert=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_Marketing_Summary_v2.sql
,,dde_social_clienturl,select_into=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_DDE_Social_ClientURL.sql
,,juicereporting_bsr_equity,delete=1;select_into=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_BSR_equity.sql
,,juicereporting_dde_activitylogs,select_into=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_DDE_ActivityLogs.sql
,,juicereporting_dataminingtool,update=2,1,etl/Juicebox Reporting/sp_JuiceReporting_insert_DataMiningTool.sql
,,juicereporting_customer_value,select_into=1,1,etl/Juicebox Reporting/sp_insert_JuiceReporting_Customer_Value.sql
,dbo,juicereporting_adhoc_customerjourney_cvh,delete=1,1,etl/Juicebox Reporting/sp_remove_juice_data_for_inactive_clients.sql
,dbo,juicereporting_analytics_matchbacks_60,delete=1,1,etl/Juicebox Reporting/sp_remove_juice_data_for_inactive_clients.sql
,dbo,juicereporting_bluesky_serviceperf_v2,delete=1,1,etl/Juicebox Reporting/sp_remove_juice_data_for_inactive_clients.sql
,dbo,juicereporting_blueskyoverview,delete=1,1,etl/Juicebox Reporting/sp_remove_juice_data_for_inactive_clients.sql
,dbo,juicereporting_blueskyrecommendations,delete=1,1,etl/Juicebox Reporting/sp_remove_juice_data_for_inactive_clients.sql
,dbo,juicereporting_blueskysalesmining,delete=1,1,etl/Juicebox Reporting/sp_remove_juice_data_for_inactive_clients.sql
