component,subject,total,exceptions,days_active,first_seen,last_seen
SQL execute_every_10_mins,Invoke ExecuteRetryTxnAuto,22936,0,81,2026-03-26 23:01:00.790000,2026-06-14 14:11:01.327000
SQL execute_every_10_mins,Invoke ReactivationMsgFromAzure,22936,0,81,2026-03-26 23:01:00.837000,2026-06-14 14:11:01.373000
SQL execute_every_10_mins,Invoke franchise_rep_export_process,22936,0,81,2026-03-26 23:01:00.790000,2026-06-14 14:11:01.313000
SQL execute_every_10_mins,Invoke FranchiseVehicleConfigClientUpdateMsgFromAzure,22936,0,81,2026-03-26 23:01:00.837000,2026-06-14 14:11:01.373000
SQL execute_every_10_mins,Process Azure LeadHistory Queue,22936,0,81,2026-03-26 23:01:00.820000,2026-06-14 14:11:01.360000
SQL execute_every_10_mins,Invoke franchise_vehicle_quote_manual_rebuild_receiver,22936,0,81,2026-03-26 23:01:00.790000,2026-06-14 14:11:01.313000
SQL execute_every_10_mins,Invoke FranchiseConsumerExport.ps1,22936,0,81,2026-03-26 23:01:00.773000,2026-06-14 14:11:01.313000
SQL execute_every_10_mins,Process Spam Complaint Queue,22936,0,81,2026-03-26 23:01:00.820000,2026-06-14 14:11:01.360000
SQL execute_every_10_mins,Process Azure UnsubscriptionEmail Queue,22936,0,81,2026-03-26 23:01:00.820000,2026-06-14 14:11:01.360000
RLScriptService,SmartFactsReportStatusUpdateMsgFromAzure.ps1,22935,6,81,2026-03-26 23:01:13.383000,2026-06-14 14:10:47.340000
execute_every_1_min,Process Smart Facts Report Status Update Queue,22935,0,81,2026-03-26 23:01:00.743000,2026-06-14 14:11:01.307000
execute_every_1_min,Invoke franchise_vehicle_quote_calculate_pricing_receiver,22935,0,81,2026-03-26 23:01:00.743000,2026-06-14 14:11:01.290000
SQL execute_every_10_mins,Invoke SettingUpdateMsgFromAzure,22932,0,81,2026-03-26 23:01:00.697000,2026-06-14 14:10:00.780000
SQL execute_every_10_mins,Invoke CustomerInventoryCalculatedUpdateMsgFromAzure,22932,0,81,2026-03-26 23:01:00.680000,2026-06-14 14:10:00.780000
SQL execute_every_10_mins,Invoke FranchiseVehicleQuoteBlobExport,22932,0,81,2026-03-26 23:01:00.697000,2026-06-14 14:10:00.793000
SQL execute_every_10_mins,Invoke CustomerInventorySourceUpdateMsgFromAzure,22932,0,81,2026-03-26 23:01:00.680000,2026-06-14 14:10:00.780000
SQL execute_every_10_mins,Invoke FranchiseVehicleQuoteRebuildPriorityMsgFromAzure,22932,0,81,2026-03-26 23:01:00.650000,2026-06-14 14:10:00.763000
SQL execute_every_10_mins,Invoke FranchiseVehicleQuoteRebuildMsgFromAzure,22930,0,81,2026-03-26 23:01:00.633000,2026-06-14 14:10:00.763000
execute_every_1_min,Invoke CustomerInventoryUpload.ps1 (Homenet Inventory Upload),21006,0,80,2026-03-27 08:01:00.530000,2026-06-14 14:11:01.290000
execute_every_1_min,Invoke homenet_inventory_import_process,21006,0,80,2026-03-27 08:01:00.530000,2026-06-14 14:11:01.277000
execute_every_1_min,Invoke CustomerInventoryUpload.ps1 (Autobase Inventory Upload),21006,0,80,2026-03-27 08:01:00.530000,2026-06-14 14:11:01.290000
execute_every_15_mins_process,Invoke franchise_vehicle_add_remove_process,15286,0,81,2026-03-26 23:01:00.743000,2026-06-14 14:01:01.247000
execute_every_15_mins_process,Invoke FranchiseConsumerRepReassign.ps1,15286,0,81,2026-03-26 23:01:00.743000,2026-06-14 14:01:01.233000
execute_every_15_mins_process,Invoke franchise_vehicle_quote_delete_process,15285,0,81,2026-03-26 23:01:00.663000,2026-06-14 14:01:01.233000
execute_every_15_mins_process,Invoke create_send_email_log_receiver,15284,0,81,2026-03-26 23:01:00.633000,2026-06-14 14:01:01.107000
execute_every_15_mins_process,Invoke consumer_subscription_receiver,15284,0,81,2026-03-26 23:01:00.650000,2026-06-14 14:01:01.123000
RLScriptService,FranchiseVehicleExport.ps1,12076,0,66,2026-03-27 07:40:51.693000,2026-06-13 10:21:11.973000
lead_consolidate_process_2,lead_consolidate_process log,12001,0,80,2026-03-27 00:06:00.320000,2026-06-14 13:16:01.027000
RLScriptService,FranchiseVehicleQuoteBlobExport.ps1,11468,4,81,2026-03-26 23:00:37.837000,2026-06-14 14:10:22.787000
RLScriptService,CustomerInventorySourceUpdateFromAzure.ps1,11468,3,81,2026-03-26 23:00:25.240000,2026-06-14 14:10:20.723000
RLScriptService,SettingUpdateFromAzure.ps1,11468,4,81,2026-03-26 23:01:09.663000,2026-06-14 14:10:20.740000
