database,schema,table,row_count,total_mb,used_mb
oltp,dbo,franchise_parse_lead,3471,0.281250,0.281250
oltp,dbo,franchise_vehicle_quote,3360,5.765625,3.789062
oltp,dbo,MessageQueue,2925,10.132812,8.570312
oltp,dbo,ndr_log,2873,11.773437,10.796875
oltp,dbo,franchise_smart_follow_v3_template_values,2833,55.015625,54.093750
oltp,dbo,dealer_track,2583,0.210937,0.140625
oltp,dbo,franchise_up_schedule,2551,0.281250,0.234375
oltp,dbo,parse_lead,2454,0.398437,0.335937
oltp,dbo,franchise_options,2224,0.351562,0.226562
oltp,dbo,AzureStorageWriteJournal,2079,7.968750,2.445312
oltp,dbo,franchise_smart_follow_v3_campaign_settings,1927,0.070312,0.070312
oltp,dbo,dynamic_view_sys,1807,0.632812,0.578125
oltp,dbo,logix_monitor_schedule,1356,0.140625,0.117187
oltp,dbo,customer_rapid_touch_up_schedule,1129,0.203125,0.148437
oltp,dbo,franchise_smart_follow_v3_defaults,1029,0.070312,0.070312
oltp,dbo,pbs_leads,1022,1.015625,0.984375
oltp,dbo,franchise_excluded_lead_sources_deleted,995,0.359375,0.203125
oltp,dbo,AzureStorageWriteData,725,48.117187,40.359375
oltp,dbo,logon_group,682,0.070312,0.070312
oltp,dbo,franchise_region,582,0.140625,0.093750
oltp,dbo,franchise_excluded_lead_sources_settings,536,0.039062,0.039062
oltp,dbo,franchise_excluded_lead_sources_papertrail,510,0.070312,0.070312
oltp,dbo,lead_provider,488,0.148437,0.093750
oltp,dbo,franchise_image,412,0.359375,0.234375
oltp,dbo,bmw_dealer_map,405,0.070312,0.070312
oltp,dbo,customer_inventory_copy,325,0.070312,0.070312
oltp,dbo,_FOR_DELETE_SFMirrorProduct2,144,0.507812,0.453125
oltp,dbo,contact_schedule,121,0.039062,0.039062
oltp,dbo,sales_force_account_manager,119,0.039062,0.039062
oltp,dbo,master_email_template,110,8.289062,8.164062
oltp,dbo,smart_quote_test,108,3.398437,3.359375
oltp,dbo,toyota_incentive,108,0.031250,0.031250
oltp,dbo,component,101,0.039062,0.039062
oltp,dbo,customer_homenet_sale_rooftop,89,0.015625,0.015625
oltp,dbo,lead_item,76,0.015625,0.015625
oltp,dbo,make,76,0.015625,0.015625
oltp,dbo,logix_monitor,71,0.039062,0.039062
oltp,dbo,parse_crm_response_item_expression_translation,66,0.015625,0.015625
oltp,dbo,process,65,0.320312,0.210937
oltp,dbo,customer_rapid_touch,57,0.031250,0.031250
oltp,dbo,AIS_Makes,54,0.015625,0.015625
oltp,dbo,pm_procedure,52,0.078125,0.046875
oltp,dbo,dealer_daily_model,42,0.015625,0.015625
oltp,dbo,smtp_code,33,0.015625,0.015625
oltp,dbo,franchise_non_business_day,32,0.015625,0.015625
oltp,dbo,franchise_rapid_contact,25,0.015625,0.015625
oltp,dbo,matching_comment,25,0.015625,0.015625
oltp,dbo,ndr_code,23,0.023437,0.023437
oltp,dbo,press_release,20,0.250000,0.203125
oltp,dbo,lead_test_email,18,0.015625,0.015625
oltp,dbo,smart_quote_price_drop,16,0.015625,0.015625
oltp,dbo,franchise_rep_notification_subscriptions,13,0.015625,0.015625
oltp,dbo,local_virtual_vehicle_config_client,11,0.015625,0.015625
oltp,dbo,parse_lead_item_expression_translation,11,0.015625,0.015625
oltp,dbo,super_email_template,11,0.601562,0.539062
oltp,dbo,franchise_pixel_tracking,10,0.015625,0.015625
oltp,dbo,crm_response_item,9,0.015625,0.015625
oltp,dbo,franchise_smart_follow_v3_settings,6,0.312500,0.265625
oltp,dbo,extranet_vehicle_pricing_audit_logs,5,0.015625,0.015625
oltp,dbo,product,4,0.015625,0.015625
oltp,dbo,QueueMonitorData,4,0.015625,0.015625
oltp,dbo,logix_monitor_alert_recipient,3,0.015625,0.015625
oltp,dbo,resellers,3,0.015625,0.015625
oltp,dbo,smart_quote_template_preset,3,0.015625,0.015625
oltp,dbo,user_interactions_simple,3,0.015625,0.015625
oltp,dbo,franchise_announcement,2,0.015625,0.015625
oltp,dbo,franchise_lead_provider,2,0.015625,0.015625
oltp,dbo,logix_monitor_recipient,2,0.015625,0.015625
oltp,dbo,smart_follow_v3_base_defaults,2,0.015625,0.015625
oltp,dbo,sysdiagrams,2,0.062500,0.062500
oltp,dbo,announcement,1,0.015625,0.015625
oltp,dbo,consumer_response_item,1,0.015625,0.015625
oltp,dbo,job_posting,1,0.015625,0.015625
oltp,dbo,_FOR_DELETE_campaign_txn,0,0.000000,0.000000
oltp,dbo,_FOR_DELETE_franchise_consumer_txn_tracking,0,0.000000,0.000000
oltp,dbo,_FOR_DELETE_lead_history_campaign_tracking,0,0.000000,0.000000
oltp,dbo,_TMP_smart_follow_performance_report,0,0.007812,0.007812
oltp,dbo,cache_campaign_action,0,0.476562,0.375000
oltp,dbo,dealer_daily_incentive_rollup,0,0.000000,0.000000
oltp,dbo,extranet_franchise_inventory_pricing_markup_audit_logs,0,0.015625,0.015625
oltp,dbo,extranet_vehicle_pricing_audit_logs_dev,0,0.000000,0.000000
oltp,dbo,franchise_logon_group,0,0.000000,0.000000
oltp,dbo,franchise_priceing,0,0.000000,0.000000
oltp,dbo,franchise_sms_template_param,0,0.000000,0.000000
oltp,dbo,franchise_vehicle_default_pricing,0,0.000000,0.000000
oltp,dbo,lead_provider_contact,0,0.000000,0.000000
oltp,dbo,lead_vehicle_option,0,0.000000,0.000000
oltp,dbo,MessageQueueInUse,0,0.000000,0.000000
oltp,dbo,news_coverage,0,0.000000,0.000000
oltp,dbo,oem_vehicle_locator_build,0,0.000000,0.000000
oltp,dbo,oem_vehicle_locator_build_responselogix_region,0,0.000000,0.000000
oltp,dbo,parse_consumer_response_item_expression_translation,0,0.000000,0.000000
oltp,dbo,queue_stat,0,0.000000,0.000000
oltp,dbo,sandbox_template_param,0,0.000000,0.000000
oltp,dbo,send_email_log,0,0.000000,0.000000
oltp,dbo,smart_data_franchise,0,0.000000,0.000000
oltp,dbo,smart_follow,0,0.000000,0.000000
oltp,dbo,smart_follow_v3_manual_run_log,0,0.000000,0.000000
oltp_Archive,dbo,lead_history,342284612,82802.015625,82791.843750
oltp_Archive,dbo,franchise_consumer_txn,140827889,23813.328125,23811.265625
oltp_Archive,dbo,franchise_consumer_txn_old,69782504,14233.031250,14231.218750
oltp_Archive,dbo,lead,59485573,64016.460937,64008.960937
oltp_Archive,dbo,smart_quote,22133224,19860.023437,19857.414062
oltp_Archive,dbo,lead_additional_info,800500,675.210937,675.054687
oltp_Archive,dbo,ChatStatistics,778263,58.046875,57.109375
oltp_Archive,dbo,franchise,5301,2.078125,2.039062
oltp_Archive,dbo,sysdiagrams,0,0.000000,0.000000
